title,genre,overview,content
Bacheha-Ye aseman,"Drama, Family, Sport","After a boy loses his sister's pair of shoes, he goes on a series of adventures in order to find them. When he can't, he tries a new way to ""win"" a new pair.",drama family sport after a boy loses his sisters pair of shoes he goes on a series of adventures in order to find them when he cant he tries a new way to win a new pair
Toy Story,"Animation, Adventure, Comedy",A cowboy doll is profoundly threatened and jealous when a new spaceman figure supplants him as top toy in a boy's room.,animation adventure comedy a cowboy doll is profoundly threatened and jealous when a new spaceman figure supplants him as top toy in a boys room
Braveheart,"Biography, Drama, History",Scottish warrior William Wallace leads his countrymen in a rebellion to free his homeland from the tyranny of King Edward I of England.,biography drama history scottish warrior william wallace leads his countrymen in a rebellion to free his homeland from the tyranny of king edward i of england
Reservoir Dogs,"Crime, Drama, Thriller","When a simple jewelry heist goes horribly wrong, the surviving criminals begin to suspect that one of them is a police informant.",crime drama thriller when a simple jewelry heist goes horribly wrong the surviving criminals begin to suspect that one of them is a police informant
Full Metal Jacket,"Drama, War",A pragmatic U.S. Marine observes the dehumanizing effects the Vietnam War has on his fellow recruits from their brutal boot camp training to the bloody street fighting in Hue.,drama war a pragmatic us marine observes the dehumanizing effects the vietnam war has on his fellow recruits from their brutal boot camp training to the bloody street fighting in hue
Idi i smotri,"Drama, Thriller, War","After finding an old rifle, a young boy joins the Soviet resistance movement against ruthless German forces and experiences the horrors of World War II.",drama thriller war after finding an old rifle a young boy joins the soviet resistance movement against ruthless german forces and experiences the horrors of world war ii
Aliens,"Action, Adventure, Sci-Fi","Fifty-seven years after surviving an apocalyptic attack aboard her space vessel by merciless space creatures, Officer Ripley awakens from hyper-sleep and tries to warn anyone who will listen about the predators.",action adventure scifi fiftyseven years after surviving an apocalyptic attack aboard her space vessel by merciless space creatures officer ripley awakens from hypersleep and tries to warn anyone who will listen about the predators
Amadeus,"Biography, Drama, History","The life, success and troubles of Wolfgang Amadeus Mozart, as told by Antonio Salieri, the contemporaneous composer who was insanely jealous of Mozart's talent and claimed to have murdered him.",biography drama history the life success and troubles of wolfgang amadeus mozart as told by antonio salieri the contemporaneous composer who was insanely jealous of mozarts talent and claimed to have murdered him
Scarface,"Crime, Drama","In 1980 Miami, a determined Cuban immigrant takes over a drug cartel and succumbs to greed.",crime drama in  miami a determined cuban immigrant takes over a drug cartel and succumbs to greed
Star Wars: Episode VI - Return of the Jedi,"Action, Adventure, Fantasy","After a daring mission to rescue Han Solo from Jabba the Hutt, the Rebels dispatch to Endor to destroy the second Death Star. Meanwhile, Luke struggles to help Darth Vader back from the dark side without falling into the Emperor's trap.",action adventure fantasy after a daring mission to rescue han solo from jabba the hutt the rebels dispatch to endor to destroy the second death star meanwhile luke struggles to help darth vader back from the dark side without falling into the emperors trap
Das Boot,"Adventure, Drama, Thriller","The claustrophobic world of a WWII German U-boat; boredom, filth and sheer terror.",adventure drama thriller the claustrophobic world of a wwii german uboat boredom filth and sheer terror
Taxi Driver,"Crime, Drama","A mentally unstable veteran works as a nighttime taxi driver in New York City, where the perceived decadence and sleaze fuels his urge for violent action by attempting to liberate a presidential campaign worker and an underage prostitute.",crime drama a mentally unstable veteran works as a nighttime taxi driver in new york city where the perceived decadence and sleaze fuels his urge for violent action by attempting to liberate a presidential campaign worker and an underage prostitute
The Sting,"Comedy, Crime, Drama",Two grifters team up to pull off the ultimate con.,comedy crime drama two grifters team up to pull off the ultimate con
A Clockwork Orange,"Crime, Drama, Sci-Fi","In the future, a sadistic gang leader is imprisoned and volunteers for a conduct-aversion experiment, but it doesn't go as planned.",crime drama scifi in the future a sadistic gang leader is imprisoned and volunteers for a conductaversion experiment but it doesnt go as planned
2001: A Space Odyssey,"Adventure, Sci-Fi","After discovering a mysterious artifact buried beneath the Lunar surface, mankind sets off on a quest to find its origins with help from intelligent supercomputer H.A.L. 9000.",adventure scifi after discovering a mysterious artifact buried beneath the lunar surface mankind sets off on a quest to find its origins with help from intelligent supercomputer hal 
Per qualche dollaro in più,Western,Two bounty hunters with the same intentions team up to track down a Western outlaw.,western two bounty hunters with the same intentions team up to track down a western outlaw
Lawrence of Arabia,"Adventure, Biography, Drama","The story of T.E. Lawrence, the English officer who successfully united and led the diverse, often warring, Arab tribes during World War I in order to fight the Turks.",adventure biography drama the story of te lawrence the english officer who successfully united and led the diverse often warring arab tribes during world war i in order to fight the turks
The Apartment,"Comedy, Drama, Romance","A man tries to rise in his company by letting its executives use his apartment for trysts, but complications and a romance of his own ensue.",comedy drama romance a man tries to rise in his company by letting its executives use his apartment for trysts but complications and a romance of his own ensue
North by Northwest,"Adventure, Mystery, Thriller",A New York City advertising executive goes on the run after being mistaken for a government agent by a group of foreign spies.,adventure mystery thriller a new york city advertising executive goes on the run after being mistaken for a government agent by a group of foreign spies
Vertigo,"Mystery, Romance, Thriller",A former police detective juggles wrestling with his personal demons and becoming obsessed with a hauntingly beautiful woman.,mystery romance thriller a former police detective juggles wrestling with his personal demons and becoming obsessed with a hauntingly beautiful woman
Singin' in the Rain,"Comedy, Musical, Romance",A silent film production company and cast make a difficult transition to sound.,comedy musical romance a silent film production company and cast make a difficult transition to sound
Ikiru,Drama,A bureaucrat tries to find a meaning in his life after he discovers he has terminal cancer.,drama a bureaucrat tries to find a meaning in his life after he discovers he has terminal cancer
Ladri di biciclette,Drama,"In post-war Italy, a working-class man's bicycle is stolen. He and his son set out to find it.",drama in postwar italy a workingclass mans bicycle is stolen he and his son set out to find it
Double Indemnity,"Crime, Drama, Film-Noir",An insurance representative lets himself be talked by a seductive housewife into a murder/insurance fraud scheme that arouses the suspicion of an insurance investigator.,crime drama filmnoir an insurance representative lets himself be talked by a seductive housewife into a murderinsurance fraud scheme that arouses the suspicion of an insurance investigator
Citizen Kane,"Drama, Mystery","Following the death of publishing tycoon Charles Foster Kane, reporters scramble to uncover the meaning of his final utterance; 'Rosebud'.",drama mystery following the death of publishing tycoon charles foster kane reporters scramble to uncover the meaning of his final utterance rosebud
M - Eine Stadt sucht einen Mörder,"Crime, Mystery, Thriller","When the police in a German city are unable to catch a child-murderer, other criminals join in the manhunt.",crime mystery thriller when the police in a german city are unable to catch a childmurderer other criminals join in the manhunt
