title,genre,overview,content
Tôkyô monogatari,Drama,"An old couple visit their children and grandchildren in the city, but receive little attention.",drama an old couple visit their children and grandchildren in the city but receive little attention
Rashômon,"Crime, Drama, Mystery","The rape of a bride and the murder of her samurai husband are recalled from the perspectives of a bandit, the bride, the samurai's ghost and a woodcutter.",crime drama mystery the rape of a bride and the murder of her samurai husband are recalled from the perspectives of a bandit the bride the samurais ghost and a woodcutter
All About Eve,Drama,A seemingly timid but secretly ruthless ingénue insinuates herself into the lives of an aging Broadway star and her circle of theater friends.,drama a seemingly timid but secretly ruthless ingnue insinuates herself into the lives of an aging broadway star and her circle of theater friends
The Treasure of the Sierra Madre,"Adventure, Drama, Western",Two Americans searching for work in Mexico convince an old prospector to help them mine for gold in the Sierra Madre Mountains.,adventure drama western two americans searching for work in mexico convince an old prospector to help them mine for gold in the sierra madre mountains
To Be or Not to Be,"Comedy, War","During the Nazi occupation of Poland, an acting troupe becomes embroiled in a Polish soldier's efforts to track down a German spy.",comedy war during the nazi occupation of poland an acting troupe becomes embroiled in a polish soldiers efforts to track down a german spy
The Gold Rush,"Adventure, Comedy, Drama",A prospector goes to the Klondike in search of gold and finds it and more.,adventure comedy drama a prospector goes to the klondike in search of gold and finds it and more
Sherlock Jr.,"Action, Comedy, Romance","A film projectionist longs to be a detective, and puts his meagre skills to work when he is framed by a rival for stealing his girlfriend's father's pocketwatch.",action comedy romance a film projectionist longs to be a detective and puts his meagre skills to work when he is framed by a rival for stealing his girlfriends fathers pocketwatch
Portrait de la jeune fille en feu,"Drama, Romance","On an isolated island in Brittany at the end of the eighteenth century, a female painter is obliged to paint a wedding portrait of a young woman.",drama romance on an isolated island in brittany at the end of the eighteenth century a female painter is obliged to paint a wedding portrait of a young woman
Pink,"Drama, Thriller","When three young women are implicated in a crime, a retired lawyer steps forward to help them clear their names.",drama thriller when three young women are implicated in a crime a retired lawyer steps forward to help them clear their names
Koe no katachi,"Animation, Drama, Family","A young man is ostracized by his classmates after he bullies a deaf girl to the point where she moves away. Years later, he sets off on a path for redemption.",animation drama family a young man is ostracized by his classmates after he bullies a deaf girl to the point where she moves away years later he sets off on a path for redemption
Contratiempo,"Crime, Drama, Mystery",A successful entrepreneur accused of murder and a witness preparation expert have less than three hours to come up with an impregnable defense.,crime drama mystery a successful entrepreneur accused of murder and a witness preparation expert have less than three hours to come up with an impregnable defense
Ah-ga-ssi,"Drama, Romance, Thriller","A woman is hired as a handmaiden to a Japanese heiress, but secretly she is involved in a plot to defraud her.",drama romance thriller a woman is hired as a handmaiden to a japanese heiress but secretly she is involved in a plot to defraud her
Mommy,Drama,"A widowed single mother, raising her violent son alone, finds new hope when a mysterious neighbor inserts herself into their household.",drama a widowed single mother raising her violent son alone finds new hope when a mysterious neighbor inserts herself into their household
Haider,"Action, Crime, Drama","A young man returns to Kashmir after his father's disappearance to confront his uncle, whom he suspects of playing a role in his father's fate.",action crime drama a young man returns to kashmir after his fathers disappearance to confront his uncle whom he suspects of playing a role in his fathers fate
Logan,"Action, Drama, Sci-Fi","In a future where mutants are nearly extinct, an elderly and weary Logan leads a quiet life. But when Laura, a mutant child pursued by scientists, comes to him for help, he must get her to safety.",action drama scifi in a future where mutants are nearly extinct an elderly and weary logan leads a quiet life but when laura a mutant child pursued by scientists comes to him for help he must get her to safety
Room,"Drama, Thriller","Held captive for 7 years in an enclosed space, a woman and her young son finally gain their freedom, allowing the boy to experience the outside world for the first time.",drama thriller held captive for  years in an enclosed space a woman and her young son finally gain their freedom allowing the boy to experience the outside world for the first time
Relatos salvajes,"Comedy, Drama, Thriller",Six short stories that explore the extremities of human behavior involving people in distress.,comedy drama thriller six short stories that explore the extremities of human behavior involving people in distress
Soul,"Animation, Adventure, Comedy","After landing the gig of a lifetime, a New York jazz pianist suddenly finds himself trapped in a strange land between Earth and the afterlife.",animation adventure comedy after landing the gig of a lifetime a new york jazz pianist suddenly finds himself trapped in a strange land between earth and the afterlife
Kis Uykusu,Drama,A hotel owner and landlord in a remote Turkish village deals with conflicts within his family and a tenant behind on his rent.,drama a hotel owner and landlord in a remote turkish village deals with conflicts within his family and a tenant behind on his rent
PK,"Comedy, Drama, Musical",An alien on Earth loses the only device he can use to communicate with his spaceship. His innocent nature and child-like questions force the country to evaluate the impact of religion on its people.,comedy drama musical an alien on earth loses the only device he can use to communicate with his spaceship his innocent nature and childlike questions force the country to evaluate the impact of religion on its people
OMG: Oh My God!,"Comedy, Drama, Fantasy",A shopkeeper takes God to court when his shop is destroyed by an earthquake.,comedy drama fantasy a shopkeeper takes god to court when his shop is destroyed by an earthquake
The Grand Budapest Hotel,"Adventure, Comedy, Crime","A writer encounters the owner of an aging high-class hotel, who tells him of his early years serving as a lobby boy in the hotel's glorious years under an exceptional concierge.",adventure comedy crime a writer encounters the owner of an aging highclass hotel who tells him of his early years serving as a lobby boy in the hotels glorious years under an exceptional concierge
Gone Girl,"Drama, Mystery, Thriller","With his wife's disappearance having become the focus of an intense media circus, a man sees the spotlight turned on him when it's suspected that he may not be innocent.",drama mystery thriller with his wifes disappearance having become the focus of an intense media circus a man sees the spotlight turned on him when its suspected that he may not be innocent
Ôkami kodomo no Ame to Yuki,"Animation, Drama, Fantasy","After her werewolf lover unexpectedly dies in an accident while hunting for food for their children, a young woman must find ways to raise the werewolf son and daughter that she had with him while keeping their trait hidden from society.",animation drama fantasy after her werewolf lover unexpectedly dies in an accident while hunting for food for their children a young woman must find ways to raise the werewolf son and daughter that she had with him while keeping their trait hidden from society
Hacksaw Ridge,"Biography, Drama, History","World War II American Army Medic Desmond T. Doss, who served during the Battle of Okinawa, refuses to kill people, and becomes the first man in American history to receive the Medal of Honor without firing a shot.",biography drama history world war ii american army medic desmond t doss who served during the battle of okinawa refuses to kill people and becomes the first man in american history to receive the medal of honor without firing a shot
Inside Out,"Animation, Adventure, Comedy","After young Riley is uprooted from her Midwest life and moved to San Francisco, her emotions - Joy, Fear, Anger, Disgust and Sadness - conflict on how best to navigate a new city, house, and school.",animation adventure comedy after young riley is uprooted from her midwest life and moved to san francisco her emotions  joy fear anger disgust and sadness  conflict on how best to navigate a new city house and school
Barfi!,"Comedy, Drama, Romance",Three young people learn that love can neither be defined nor contained by society's definition of normal and abnormal.,comedy drama romance three young people learn that love can neither be defined nor contained by societys definition of normal and abnormal
12 Years a Slave,"Biography, Drama, History","In the antebellum United States, Solomon Northup, a free black man from upstate New York, is abducted and sold into slavery.",biography drama history in the antebellum united states solomon northup a free black man from upstate new york is abducted and sold into slavery
Rush,"Action, Biography, Drama",The merciless 1970s rivalry between Formula One rivals James Hunt and Niki Lauda.,action biography drama the merciless s rivalry between formula one rivals james hunt and niki lauda
Ford v Ferrari,"Action, Biography, Drama",American car designer Carroll Shelby and driver Ken Miles battle corporate interference and the laws of physics to build a revolutionary race car for Ford in order to defeat Ferrari at the 24 Hours of Le Mans in 1966.,action biography drama american car designer carroll shelby and driver ken miles battle corporate interference and the laws of physics to build a revolutionary race car for ford in order to defeat ferrari at the  hours of le mans in 
Spotlight,"Biography, Crime, Drama","The true story of how the Boston Globe uncovered the massive scandal of child molestation and cover-up within the local Catholic Archdiocese, shaking the entire Catholic Church to its core.",biography crime drama the true story of how the boston globe uncovered the massive scandal of child molestation and coverup within the local catholic archdiocese shaking the entire catholic church to its core
Song of the Sea,"Animation, Adventure, Drama","Ben, a young Irish boy, and his little sister Saoirse, a girl who can turn into a seal, go on an adventure to free the fairies and save the spirit world.",animation adventure drama ben a young irish boy and his little sister saoirse a girl who can turn into a seal go on an adventure to free the fairies and save the spirit world
Kahaani,"Mystery, Thriller","A pregnant woman's search for her missing husband takes her from London to Kolkata, but everyone she questions denies having ever met him.",mystery thriller a pregnant womans search for her missing husband takes her from london to kolkata but everyone she questions denies having ever met him
Zindagi Na Milegi Dobara,"Comedy, Drama",Three friends decide to turn their fantasy vacation into reality after one of their friends gets engaged.,comedy drama three friends decide to turn their fantasy vacation into reality after one of their friends gets engaged
Prisoners,"Crime, Drama, Mystery","When Keller Dover's daughter and her friend go missing, he takes matters into his own hands as the police pursue multiple leads and the pressure mounts.",crime drama mystery when keller dovers daughter and her friend go missing he takes matters into his own hands as the police pursue multiple leads and the pressure mounts
Mad Max: Fury Road,"Action, Adventure, Sci-Fi","In a post-apocalyptic wasteland, a woman rebels against a tyrannical ruler in search for her homeland with the aid of a group of female prisoners, a psychotic worshiper, and a drifter named Max.",action adventure scifi in a postapocalyptic wasteland a woman rebels against a tyrannical ruler in search for her homeland with the aid of a group of female prisoners a psychotic worshiper and a drifter named max
A Wednesday,"Action, Crime, Drama",A retiring police officer reminisces about the most astounding day of his career. About a case that was never filed but continues to haunt him in his memories - the case of a man and a Wednesday.,action crime drama a retiring police officer reminisces about the most astounding day of his career about a case that was never filed but continues to haunt him in his memories  the case of a man and a wednesday
Gran Torino,Drama,"Disgruntled Korean War veteran Walt Kowalski sets out to reform his neighbor, Thao Lor, a Hmong teenager who tried to steal Kowalski's prized possession: a 1972 Gran Torino.",drama disgruntled korean war veteran walt kowalski sets out to reform his neighbor thao lor a hmong teenager who tried to steal kowalskis prized possession a  gran torino
Harry Potter and the Deathly Hallows: Part 2,"Adventure, Drama, Fantasy","Harry, Ron, and Hermione search for Voldemort's remaining Horcruxes in their effort to destroy the Dark Lord as the final battle rages on at Hogwarts.",adventure drama fantasy harry ron and hermione search for voldemorts remaining horcruxes in their effort to destroy the dark lord as the final battle rages on at hogwarts
Okuribito,"Drama, Music",A newly unemployed cellist takes a job preparing the dead for funerals.,drama music a newly unemployed cellist takes a job preparing the dead for funerals
Hachi: A Dog's Tale,"Biography, Drama, Family",A college professor bonds with an abandoned dog he takes into his home.,biography drama family a college professor bonds with an abandoned dog he takes into his home
Mary and Max,"Animation, Comedy, Drama","A tale of friendship between two unlikely pen pals: Mary, a lonely, eight-year-old girl living in the suburbs of Melbourne, and Max, a forty-four-year old, severely obese man living in New York.",animation comedy drama a tale of friendship between two unlikely pen pals mary a lonely eightyearold girl living in the suburbs of melbourne and max a fortyfouryear old severely obese man living in new york
How to Train Your Dragon,"Animation, Action, Adventure","A hapless young Viking who aspires to hunt dragons becomes the unlikely friend of a young dragon himself, and learns there may be more to the creatures than he assumed.",animation action adventure a hapless young viking who aspires to hunt dragons becomes the unlikely friend of a young dragon himself and learns there may be more to the creatures than he assumed
Into the Wild,"Adventure, Biography, Drama","After graduating from Emory University, top student and athlete Christopher McCandless abandons his possessions, gives his entire $24,000 savings account to charity and hitchhikes to Alaska to live in the wilderness. Along the way, Christopher encounters a series of characters that shape his life.",adventure biography drama after graduating from emory university top student and athlete christopher mccandless abandons his possessions gives his entire  savings account to charity and hitchhikes to alaska to live in the wilderness along the way christopher encounters a series of characters that shape his life
No Country for Old Men,"Crime, Drama, Thriller",Violence and mayhem ensue after a hunter stumbles upon a drug deal gone wrong and more than two million dollars in cash near the Rio Grande.,crime drama thriller violence and mayhem ensue after a hunter stumbles upon a drug deal gone wrong and more than two million dollars in cash near the rio grande
Lage Raho Munna Bhai,"Comedy, Drama, Romance",Munna Bhai embarks on a journey with Mahatma Gandhi in order to fight against a corrupt property dealer.,comedy drama romance munna bhai embarks on a journey with mahatma gandhi in order to fight against a corrupt property dealer
Million Dollar Baby,"Drama, Sport",A determined woman works with a hardened boxing trainer to become a professional.,drama sport a determined woman works with a hardened boxing trainer to become a professional
Hotel Rwanda,"Biography, Drama, History","Paul Rusesabagina, a hotel manager, houses over a thousand Tutsi refugees during their struggle against the Hutu militia in Rwanda, Africa.",biography drama history paul rusesabagina a hotel manager houses over a thousand tutsi refugees during their struggle against the hutu militia in rwanda africa
Taegukgi hwinalrimyeo,"Action, Drama, War","When two brothers are forced to fight in the Korean War, the elder decides to take the riskiest missions if it will help shield the younger from battle.",action drama war when two brothers are forced to fight in the korean war the elder decides to take the riskiest missions if it will help shield the younger from battle
Before Sunset,"Drama, Romance","Nine years after Jesse and Celine first met, they encounter each other again on the French leg of Jesse's book tour.",drama romance nine years after jesse and celine first met they encounter each other again on the french leg of jesses book tour
Munna Bhai M.B.B.S.,"Comedy, Drama, Musical",A gangster sets out to fulfill his father's dream of becoming a doctor.,comedy drama musical a gangster sets out to fulfill his fathers dream of becoming a doctor
Salinui chueok,"Crime, Drama, Mystery","In a small Korean province in 1986, two detectives struggle with the case of multiple young women being found raped and murdered by an unknown culprit.",crime drama mystery in a small korean province in  two detectives struggle with the case of multiple young women being found raped and murdered by an unknown culprit
Dil Chahta Hai,"Comedy, Drama, Romance","Three inseparable childhood friends are just out of college. Nothing comes between them - until they each fall in love, and their wildly different approaches to relationships creates tension.",comedy drama romance three inseparable childhood friends are just out of college nothing comes between them  until they each fall in love and their wildly different approaches to relationships creates tension
Kill Bill: Vol. 1,"Action, Crime, Drama","After awakening from a four-year coma, a former assassin wreaks vengeance on the team of assassins who betrayed her.",action crime drama after awakening from a fouryear coma a former assassin wreaks vengeance on the team of assassins who betrayed her
Finding Nemo,"Animation, Adventure, Comedy","After his son is captured in the Great Barrier Reef and taken to Sydney, a timid clownfish sets out on a journey to bring him home.",animation adventure comedy after his son is captured in the great barrier reef and taken to sydney a timid clownfish sets out on a journey to bring him home
Catch Me If You Can,"Biography, Crime, Drama","Barely 21 yet, Frank is a skilled forger who has passed as a doctor, lawyer and pilot. FBI agent Carl becomes obsessed with tracking down the con man, who only revels in the pursuit.",biography crime drama barely  yet frank is a skilled forger who has passed as a doctor lawyer and pilot fbi agent carl becomes obsessed with tracking down the con man who only revels in the pursuit
Amores perros,"Drama, Thriller","A horrific car accident connects three stories, each involving characters dealing with loss, regret, and life's harsh realities, all in the name of love.",drama thriller a horrific car accident connects three stories each involving characters dealing with loss regret and lifes harsh realities all in the name of love
"Monsters, Inc.","Animation, Adventure, Comedy","In order to power the city, monsters have to scare children so that they scream. However, the children are toxic to the monsters, and after a child gets through, 2 monsters realize things may not be what they think.",animation adventure comedy in order to power the city monsters have to scare children so that they scream however the children are toxic to the monsters and after a child gets through  monsters realize things may not be what they think
"Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo, kimi ni","Animation, Action, Drama",Concurrent theatrical ending of the TV series Shin seiki evangerion (1995).,animation action drama concurrent theatrical ending of the tv series shin seiki evangerion 
Lagaan: Once Upon a Time in India,"Adventure, Drama, Musical",The people of a small village in Victorian India stake their future on a game of cricket against their ruthless British rulers.,adventure drama musical the people of a small village in victorian india stake their future on a game of cricket against their ruthless british rulers
The Sixth Sense,"Drama, Mystery, Thriller",A boy who communicates with spirits seeks the help of a disheartened child psychologist.,drama mystery thriller a boy who communicates with spirits seeks the help of a disheartened child psychologist
La leggenda del pianista sull'oceano,"Drama, Music, Romance","A baby boy, discovered in 1900 on an ocean liner, grows into a musical prodigy, never setting foot on land.",drama music romance a baby boy discovered in  on an ocean liner grows into a musical prodigy never setting foot on land
The Truman Show,"Comedy, Drama",An insurance salesman discovers his whole life is actually a reality TV show.,comedy drama an insurance salesman discovers his whole life is actually a reality tv show
"Crna macka, beli macor","Comedy, Crime, Romance",Matko and his son Zare live on the banks of the Danube river and get by through hustling and basically doing anything to make a living. In order to pay off a business debt Matko agrees to marry off Zare to the sister of a local gangster.,comedy crime romance matko and his son zare live on the banks of the danube river and get by through hustling and basically doing anything to make a living in order to pay off a business debt matko agrees to marry off zare to the sister of a local gangster
The Big Lebowski,"Comedy, Crime, Sport","Jeff ""The Dude"" Lebowski, mistaken for a millionaire of the same name, seeks restitution for his ruined rug and enlists his bowling buddies to help get it.",comedy crime sport jeff the dude lebowski mistaken for a millionaire of the same name seeks restitution for his ruined rug and enlists his bowling buddies to help get it
Fa yeung nin wah,"Drama, Romance","Two neighbors, a woman and a man, form a strong bond after both suspect extramarital activities of their spouses. However, they agree to keep their bond platonic so as not to commit similar wrongs.",drama romance two neighbors a woman and a man form a strong bond after both suspect extramarital activities of their spouses however they agree to keep their bond platonic so as not to commit similar wrongs
Trainspotting,Drama,"Renton, deeply immersed in the Edinburgh drug scene, tries to clean up and get out, despite the allure of the drugs and influence of friends.",drama renton deeply immersed in the edinburgh drug scene tries to clean up and get out despite the allure of the drugs and influence of friends
Fargo,"Crime, Drama, Thriller",Jerry Lundegaard's inept crime falls apart due to his and his henchmen's bungling and the persistent police work of the quite pregnant Marge Gunderson.,crime drama thriller jerry lundegaards inept crime falls apart due to his and his henchmens bungling and the persistent police work of the quite pregnant marge gunderson
Underground,"Comedy, Drama, War","A group of Serbian socialists prepares for the war in a surreal underground filled by parties, tragedies, love and hate.",comedy drama war a group of serbian socialists prepares for the war in a surreal underground filled by parties tragedies love and hate
La haine,"Crime, Drama",24 hours in the lives of three young men in the French suburbs the day after a violent riot.,crime drama  hours in the lives of three young men in the french suburbs the day after a violent riot
Dilwale Dulhania Le Jayenge,"Drama, Romance","When Raj meets Simran in Europe, it isn't love at first sight but when Simran moves to India for an arranged marriage, love makes its presence felt.",drama romance when raj meets simran in europe it isnt love at first sight but when simran moves to india for an arranged marriage love makes its presence felt
Before Sunrise,"Drama, Romance","A young man and woman meet on a train in Europe, and wind up spending one evening together in Vienna. Unfortunately, both know that this will probably be their only night together.",drama romance a young man and woman meet on a train in europe and wind up spending one evening together in vienna unfortunately both know that this will probably be their only night together
Trois couleurs: Rouge,"Drama, Mystery, Romance",A model discovers a retired judge is keen on invading people's privacy.,drama mystery romance a model discovers a retired judge is keen on invading peoples privacy
Chung Hing sam lam,"Comedy, Crime, Drama","Two melancholy Hong Kong policemen fall in love: one with a mysterious female underworld figure, the other with a beautiful and ethereal server at a late-night restaurant he frequents.",comedy crime drama two melancholy hong kong policemen fall in love one with a mysterious female underworld figure the other with a beautiful and ethereal server at a latenight restaurant he frequents
Jurassic Park,"Action, Adventure, Sci-Fi",A pragmatic paleontologist visiting an almost complete theme park is tasked with protecting a couple of kids after a power failure causes the park's cloned dinosaurs to run loose.,action adventure scifi a pragmatic paleontologist visiting an almost complete theme park is tasked with protecting a couple of kids after a power failure causes the parks cloned dinosaurs to run loose
In the Name of the Father,"Biography, Crime, Drama",A man's coerced confession to an I.R.A. bombing he did not commit results in the imprisonment of his father as well. An English lawyer fights to free them.,biography crime drama a mans coerced confession to an ira bombing he did not commit results in the imprisonment of his father as well an english lawyer fights to free them
Ba wang bie ji,"Drama, Music, Romance",Two boys meet at an opera training school in Peking in 1924. Their resulting friendship will span nearly 70 years and will endure some of the most troublesome times in China's history.,drama music romance two boys meet at an opera training school in peking in  their resulting friendship will span nearly  years and will endure some of the most troublesome times in chinas history
Dà hóng denglong gaogao guà,"Drama, History, Romance","A young woman becomes the fourth wife of a wealthy lord, and must learn to live with the strict rules and tensions within the household.",drama history romance a young woman becomes the fourth wife of a wealthy lord and must learn to live with the strict rules and tensions within the household
Dead Poets Society,"Comedy, Drama",Maverick teacher John Keating uses poetry to embolden his boarding school students to new heights of self-expression.,comedy drama maverick teacher john keating uses poetry to embolden his boarding school students to new heights of selfexpression
Stand by Me,"Adventure, Drama","After the death of one of his friends, a writer recounts a childhood journey with his friends to find the body of a missing boy.",adventure drama after the death of one of his friends a writer recounts a childhood journey with his friends to find the body of a missing boy
Platoon,"Drama, War","Chris Taylor, a neophyte recruit in Vietnam, finds himself caught in a battle of wills between two sergeants, one good and the other evil. A shrewd examination of the brutality of war and the duality of man in conflict.",drama war chris taylor a neophyte recruit in vietnam finds himself caught in a battle of wills between two sergeants one good and the other evil a shrewd examination of the brutality of war and the duality of man in conflict
"Paris, Texas",Drama,"Travis Henderson, an aimless drifter who has been missing for four years, wanders out of the desert and must reconnect with society, himself, his life, and his family.",drama travis henderson an aimless drifter who has been missing for four years wanders out of the desert and must reconnect with society himself his life and his family
Kaze no tani no Naushika,"Animation, Adventure, Fantasy",Warrior and pacifist Princess Nausicaä desperately struggles to prevent two warring nations from destroying themselves and their dying planet.,animation adventure fantasy warrior and pacifist princess nausica desperately struggles to prevent two warring nations from destroying themselves and their dying planet
The Thing,"Horror, Mystery, Sci-Fi",A research team in Antarctica is hunted by a shape-shifting alien that assumes the appearance of its victims.,horror mystery scifi a research team in antarctica is hunted by a shapeshifting alien that assumes the appearance of its victims
Pink Floyd: The Wall,"Drama, Fantasy, Music",A confined but troubled rock star descends into madness in the midst of his physical and social isolation from everyone.,drama fantasy music a confined but troubled rock star descends into madness in the midst of his physical and social isolation from everyone
Fitzcarraldo,"Adventure, Drama","The story of Brian Sweeney Fitzgerald, an extremely determined man who intends to build an opera house in the middle of a jungle.",adventure drama the story of brian sweeney fitzgerald an extremely determined man who intends to build an opera house in the middle of a jungle
Fanny och Alexander,Drama,"Two young Swedish children experience the many comedies and tragedies of their family, the Ekdahls.",drama two young swedish children experience the many comedies and tragedies of their family the ekdahls
Blade Runner,"Action, Sci-Fi, Thriller","A blade runner must pursue and terminate four replicants who stole a ship in space, and have returned to Earth to find their creator.",action scifi thriller a blade runner must pursue and terminate four replicants who stole a ship in space and have returned to earth to find their creator
The Elephant Man,"Biography, Drama","A Victorian surgeon rescues a heavily disfigured man who is mistreated while scraping a living as a side-show freak. Behind his monstrous façade, there is revealed a person of kindness, intelligence and sophistication.",biography drama a victorian surgeon rescues a heavily disfigured man who is mistreated while scraping a living as a sideshow freak behind his monstrous faade there is revealed a person of kindness intelligence and sophistication
Life of Brian,Comedy,"Born on the original Christmas in the stable next door to Jesus Christ, Brian of Nazareth spends his life being mistaken for a messiah.",comedy born on the original christmas in the stable next door to jesus christ brian of nazareth spends his life being mistaken for a messiah
The Deer Hunter,"Drama, War",An in-depth examination of the ways in which the U.S. Vietnam War impacts and disrupts the lives of people in a small industrial town in Pennsylvania.,drama war an indepth examination of the ways in which the us vietnam war impacts and disrupts the lives of people in a small industrial town in pennsylvania
Rocky,"Drama, Sport",A small-time boxer gets a supremely rare chance to fight a heavy-weight champion in a bout in which he strives to go the distance for his self-respect.,drama sport a smalltime boxer gets a supremely rare chance to fight a heavyweight champion in a bout in which he strives to go the distance for his selfrespect
Network,Drama,A television network cynically exploits a deranged former anchor's ravings and revelations about the news media for its own profit.,drama a television network cynically exploits a deranged former anchors ravings and revelations about the news media for its own profit
Barry Lyndon,"Adventure, Drama, History",An Irish rogue wins the heart of a rich widow and assumes her dead husband's aristocratic position in 18th-century England.,adventure drama history an irish rogue wins the heart of a rich widow and assumes her dead husbands aristocratic position in thcentury england
Zerkalo,"Biography, Drama","A dying man in his forties remembers his past. His childhood, his mother, the war, personal moments and things that tell of the recent history of all the Russian nation.",biography drama a dying man in his forties remembers his past his childhood his mother the war personal moments and things that tell of the recent history of all the russian nation
Chinatown,"Drama, Mystery, Thriller","A private detective hired to expose an adulterer finds himself caught up in a web of deceit, corruption, and murder.",drama mystery thriller a private detective hired to expose an adulterer finds himself caught up in a web of deceit corruption and murder
Paper Moon,"Comedy, Crime, Drama","During the Great Depression, a con man finds himself saddled with a young girl who may or may not be his daughter, and the two forge an unlikely partnership.",comedy crime drama during the great depression a con man finds himself saddled with a young girl who may or may not be his daughter and the two forge an unlikely partnership
Viskningar och rop,Drama,"When a woman dying of cancer in early twentieth-century Sweden is visited by her two sisters, long-repressed feelings between the siblings rise to the surface.",drama when a woman dying of cancer in early twentiethcentury sweden is visited by her two sisters longrepressed feelings between the siblings rise to the surface
Solaris,"Drama, Mystery, Sci-Fi",A psychologist is sent to a station orbiting a distant planet in order to discover what has caused the crew to go insane.,drama mystery scifi a psychologist is sent to a station orbiting a distant planet in order to discover what has caused the crew to go insane
Le samouraï,"Crime, Drama, Mystery",After professional hitman Jef Costello is seen by witnesses his efforts to provide himself an alibi drive him further into a corner.,crime drama mystery after professional hitman jef costello is seen by witnesses his efforts to provide himself an alibi drive him further into a corner
Cool Hand Luke,"Crime, Drama","A laid back Southern man is sentenced to two years in a rural prison, but refuses to conform.",crime drama a laid back southern man is sentenced to two years in a rural prison but refuses to conform
Persona,"Drama, Thriller",A nurse is put in charge of a mute actress and finds that their personae are melding together.,drama thriller a nurse is put in charge of a mute actress and finds that their personae are melding together
Andrei Rublev,"Biography, Drama, History","The life, times and afflictions of the fifteenth-century Russian iconographer St. Andrei Rublev.",biography drama history the life times and afflictions of the fifteenthcentury russian iconographer st andrei rublev
La battaglia di Algeri,"Drama, War","In the 1950s, fear and violence escalate as the people of Algiers fight for independence from the French government.",drama war in the s fear and violence escalate as the people of algiers fight for independence from the french government
El ángel exterminador,"Drama, Fantasy",The guests at an upper-class dinner party find themselves unable to leave.,drama fantasy the guests at an upperclass dinner party find themselves unable to leave
What Ever Happened to Baby Jane?,"Drama, Horror, Thriller",A former child star torments her paraplegic sister in their decaying Hollywood mansion.,drama horror thriller a former child star torments her paraplegic sister in their decaying hollywood mansion
Sanjuro,"Action, Comedy, Crime","A crafty samurai helps a young man and his fellow clansmen save his uncle, who has been framed and imprisoned by a corrupt superintendent.",action comedy crime a crafty samurai helps a young man and his fellow clansmen save his uncle who has been framed and imprisoned by a corrupt superintendent
The Man Who Shot Liberty Valance,"Drama, Western",A senator returns to a western town for the funeral of an old friend and tells the story of his origins.,drama western a senator returns to a western town for the funeral of an old friend and tells the story of his origins
Ivanovo detstvo,"Drama, War","In WW2, twelve year old Soviet orphan Ivan Bondarev works for the Soviet army as a scout behind the German lines and strikes a friendship with three sympathetic Soviet officers.",drama war in ww twelve year old soviet orphan ivan bondarev works for the soviet army as a scout behind the german lines and strikes a friendship with three sympathetic soviet officers
Jungfrukällan,Drama,"An innocent yet pampered young virgin and her family's pregnant and jealous servant set out to deliver candles to church, but only one returns from events that transpire in the woods along the way.",drama an innocent yet pampered young virgin and her familys pregnant and jealous servant set out to deliver candles to church but only one returns from events that transpire in the woods along the way
Inherit the Wind,"Biography, Drama, History","Based on a real-life case in 1925, two great lawyers argue the case for and against a science teacher accused of the crime of teaching evolution.",biography drama history based on a reallife case in  two great lawyers argue the case for and against a science teacher accused of the crime of teaching evolution
Les quatre cents coups,"Crime, Drama","A young boy, left without attention, delves into a life of petty crime.",crime drama a young boy left without attention delves into a life of petty crime
Ben-Hur,"Adventure, Drama, History","After a Jewish prince is betrayed and sent into slavery by a Roman friend, he regains his freedom and comes back for revenge.",adventure drama history after a jewish prince is betrayed and sent into slavery by a roman friend he regains his freedom and comes back for revenge
Kakushi-toride no san-akunin,"Adventure, Drama","Lured by gold, two greedy peasants unknowingly escort a princess and her general across enemy lines.",adventure drama lured by gold two greedy peasants unknowingly escort a princess and her general across enemy lines
Le notti di Cabiria,Drama,A waifish prostitute wanders the streets of Rome looking for true love but finds only heartbreak.,drama a waifish prostitute wanders the streets of rome looking for true love but finds only heartbreak
Kumonosu-jô,"Drama, History","A war-hardened general, egged on by his ambitious wife, works to fulfill a prophecy that he would become lord of Spider's Web Castle.",drama history a warhardened general egged on by his ambitious wife works to fulfill a prophecy that he would become lord of spiders web castle
The Bridge on the River Kwai,"Adventure, Drama, War","British POWs are forced to build a railway bridge across the river Kwai for their Japanese captors, not knowing that the allied forces are planning to destroy it.",adventure drama war british pows are forced to build a railway bridge across the river kwai for their japanese captors not knowing that the allied forces are planning to destroy it
On the Waterfront,"Crime, Drama, Thriller",An ex-prize fighter turned longshoreman struggles to stand up to his corrupt union bosses.,crime drama thriller an exprize fighter turned longshoreman struggles to stand up to his corrupt union bosses
Le salaire de la peur,"Adventure, Drama, Thriller","In a decrepit South American village, four men are hired to transport an urgent nitroglycerine shipment without the equipment that would make it safe.",adventure drama thriller in a decrepit south american village four men are hired to transport an urgent nitroglycerine shipment without the equipment that would make it safe
Ace in the Hole,"Drama, Film-Noir","A frustrated former big-city journalist now stuck working for an Albuquerque newspaper exploits a story about a man trapped in a cave to rekindle his career, but the situation quickly escalates into an out-of-control circus.",drama filmnoir a frustrated former bigcity journalist now stuck working for an albuquerque newspaper exploits a story about a man trapped in a cave to rekindle his career but the situation quickly escalates into an outofcontrol circus
